# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'cycles:u'
# Event count (approx.): 1956954042668
#
# Children      Self       Samples  Symbol                           IPC   [IPC Coverage]
# ........  ........  ............  ...............................  ....................
#
     0.00%     0.00%             0  [.] 0x785aa725251f3a7f           -      -            
     0.00%     0.00%             0  [.] 0x2500844984efc167           -      -            
     0.00%     0.00%             0  [.] 0xbe245039542fb8cf           -      -            
     0.00%     0.00%             0  [.] 0x02e84bb7597aabe6           -      -            
     0.00%     0.00%             0  [.] 0xebc0978e8761e7fe           -      -            
     0.00%     0.00%             0  [.] 0x242405baba2ea637           -      -            
     0.00%     0.00%             0  [.] 0x05e042a7c3f9b2db           -      -            
     0.00%     0.00%             0  [.] 0x11b9f78d3c5c39b7           -      -            
     0.00%     0.00%             0  [.] 0x96e4f68cf0d0a5fa           -      -            
     0.00%     0.00%             0  [.] 0xa0789bb37b298f16           -      -            
     0.00%     0.00%             0  [.] 0xe38242fc9f565dbb           -      -            
     0.00%     0.00%             0  [.] 0x056d3cb4e0c73760           -      -            
     0.00%     0.00%             0  [.] 0xa29660327e30dc31           -      -            
     0.00%     0.00%             0  [.] 0x5b10693fdfac225a           -      -            
     0.00%     0.00%             0  [.] 0xb430af011ae28314           -      -            
     0.00%     0.00%             0  [.] 0x5b01d7ee3a529c1a           -      -            
     0.00%     0.00%             0  [.] 0x2749cdfc72b5107e           -      -            
     0.00%     0.00%             0  [.] 0x72e1b1caf493433a           -      -            
     0.00%     0.00%             0  [.] 0x516c5f4518c768cf           -      -            
     0.00%     0.00%             0  [.] 0xbd698a16d4f7cc85           -      -            
     0.00%     0.00%             0  [.] 0xba3e0e6fb2783de4           -      -            
     0.00%     0.00%             0  [.] 0xa26b720c1413039c           -      -            
     0.00%     0.00%             0  [.] 0x9f3516fb7769e342           -      -            
     0.00%     0.00%             0  [.] 0x9981f9cb8c16b79c           -      -            
     0.00%     0.00%             0  [.] 0xf39c47b3cd4160e5           -      -            
     0.00%     0.00%             0  [.] 0x68a0c8d85108c773           -      -            
     0.00%     0.00%             0  [.] 0x3cb75d2f0b414f70           -      -            
     0.00%     0.00%             0  [.] 0xd45f99774d55c8f1           -      -            
     0.00%     0.00%             0  [.] 0x406d831bf67c903c           -      -            
     0.00%     0.00%             0  [.] 0x17ba3aa079191d98           -      -            
     0.00%     0.00%             0  [.] 0x32f3f3a9ea38ca86           -      -            
     0.00%     0.00%             0  [.] 0x236c93fb1d463da9           -      -            
     0.00%     0.00%             0  [.] 0x0eb218b7a6c58c7a           -      -            
     0.00%     0.00%             2  [.] Point::Point                 -      -            
     0.00%     0.00%             0  [.] 0xdf45593d6e3a4ebd           -      -            
     0.00%     0.00%             0  [.] 0xad5f609bde013844           -      -            
     0.00%     0.00%             0  [.] 0x4ba3d5a637822a70           -      -            
     0.00%     0.00%             0  [.] 0x6381113b66330501           -      -            
     0.00%     0.00%             0  [.] 0x3ea07378b6318b98           -      -            
     0.00%     0.00%             0  [.] 0x63c24dbb74e5795a           -      -            
     0.00%     0.00%             0  [.] 0xf98e9b3a58da5501           -      -            
     0.00%     0.00%             0  [.] 0x7638dc4b1760703e           -      -            
     0.00%     0.00%             0  [.] 0x11d28aa087945f62           -      -            
     0.00%     0.00%             0  [.] 0x76db5d12230d30da           -      -            
     0.00%     0.00%             0  [.] 0x0877a72b3391cf74           -      -            
     0.00%     0.00%             0  [.] 0xb937050d334667f3           -      -            
     0.00%     0.00%             0  [.] 0x477b8bba8a946315           -      -            
     0.00%     0.00%             0  [.] 0x202f1ac5e949038e           -      -            
     0.00%     0.00%             0  [.] 0xe06bb0a8d90bcb3f           -      -            
     0.00%     0.00%             0  [.] 0xc96080140427b205           -      -            
     0.00%     0.00%             0  [.] 0x8f24a825f4e7dda6           -      -            
     0.00%     0.00%             0  [.] 0x1caf3b8be29c92e8           -      -            
     0.00%     0.00%             0  [.] 0x2bf0af6df130bf83           -      -            
     0.00%     0.00%             0  [.] 0x6c02572fd58f90d3           -      -            
     0.00%     0.00%             0  [.] 0x58a44fa911744122           -      -            
     0.00%     0.00%             0  [.] 0x461b7c08bba6127c           -      -            
     0.00%     0.00%             0  [.] 0xced406892e6c939b           -      -            
     0.00%     0.00%             0  [.] 0x22698cfe5500f1bb           -      -            
     0.00%     0.00%             0  [.] 0xd5af854a4a438593           -      -            
     0.00%     0.00%             0  [.] 0xd8c434b152670202           -      -            
     0.00%     0.00%             0  [.] 0x01ae93a4a7eef1ca           -      -            
     0.00%     0.00%             0  [.] 0x4d4e51f966cb2750           -      -            
     0.00%     0.00%             0  [.] 0xdcb26b42da9787a5           -      -            
     0.00%     0.00%             0  [.] 0x80e1d8903adca540           -      -            
     0.00%     0.00%             0  [.] 0x090f22152d57c45e           -      -            
     0.00%     0.00%             0  [.] 0x7fbb0775cb891b74           -      -            
     0.00%     0.00%             0  [.] 0xb997b440c7e5def1           -      -            
     0.00%     0.00%             0  [.] 0x12dcebef2702f19c           -      -            
     0.00%     0.00%             0  [.] 0x0ec1c4bd9915f589           -      -            
     0.00%     0.00%             0  [.] 0x197996163e6c69f2           -      -            
     0.00%     0.00%             0  [.] 0x43839bd9e1d748ca           -      -            
     0.00%     0.00%             0  [.] 0x54c30b1e75590599           -      -            
     0.00%     0.00%             0  [.] 0x1071bfd7e4ac142a           -      -            
     0.00%     0.00%             0  [.] 0x35168b4eed0e4139           -      -            
     0.00%     0.00%             0  [.] 0xe82d6e7ecd457f58           -      -            
     0.00%     0.00%             0  [.] 0x1db7078b6dabd4bc           -      -            
     0.00%     0.00%             0  [.] 0x1e8096412ce17d43           -      -            
     0.00%     0.00%             0  [.] 0xc9e7f33d8a0cfa67           -      -            
     0.00%     0.00%             0  [.] 0xd330992ba80b92cd           -      -            
